PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Typeticket
892,,3,0,30,0,0,1,2,2
893,,3,1,40,1,0,1,3,2
894,,2,0,60,0,0,1,2,1
895,,3,0,20,0,0,1,3,2
896,,3,1,20,1,1,1,3,2
897,,3,0,10,0,0,1,3,6
898,,3,2,30,0,0,1,2,2
899,,2,0,20,1,1,4,3,1
900,,3,1,10,0,0,1,1,1
901,,3,0,20,2,0,3,3,9
902,,3,0,20,0,0,1,3,2
903,,1,0,40,0,0,3,3,5
904,,1,1,20,1,0,11,3,1
905,,2,0,60,1,0,3,3,1
906,,1,1,40,1,0,8,3,15
907,,2,1,20,1,0,3,1,14
908,,2,0,30,0,0,1,2,1
909,,3,0,20,0,0,1,1,1
910,,3,2,20,1,0,1,3,14
911,,3,1,40,0,0,1,1,1
912,,1,0,50,1,0,8,1,13
913,,3,0,0,0,1,0,3,10
914,,1,1,20,0,0,4,3,13
915,,1,0,20,0,1,8,1,13
916,,1,1,40,1,3,37,1,13
917,,3,0,50,1,0,2,3,9
918,,1,2,20,0,1,8,1,0
919,,3,0,20,0,0,1,1,1
920,,1,0,40,0,0,4,3,0
921,,3,0,20,2,0,3,1,1
922,,2,0,50,1,0,3,3,14
923,,2,0,20,2,0,4,3,10
924,,3,1,30,1,2,2,3,10
925,,3,1,20,1,2,3,3,15
926,,1,0,30,1,0,8,1,0
927,,3,0,10,0,0,1,1,1
928,,3,2,20,0,0,1,3,2
929,,3,2,20,0,0,1,3,2
930,,3,0,20,0,0,1,3,2
931,,3,0,20,0,0,8,3,0
932,,3,0,30,0,1,1,1,2
933,,1,0,20,0,0,3,3,0
934,,3,0,40,0,0,1,3,14
935,,2,1,30,0,0,1,3,1
936,,1,1,40,1,0,7,3,0
937,,3,0,20,0,0,1,3,14
938,,1,0,40,0,0,4,1,13
939,,3,0,20,0,0,1,2,2
940,,1,1,60,0,0,10,1,0
941,,3,1,30,0,2,2,3,10
942,,1,0,20,1,0,8,3,0
943,,2,0,20,0,0,2,1,14
944,,2,2,20,2,1,3,3,1
945,,1,2,20,3,2,37,3,0
946,,2,0,20,0,0,2,1,14
947,,3,0,10,4,1,4,2,2
948,,3,0,30,0,0,1,3,2
949,,3,0,20,0,0,1,3,2
950,,3,0,20,1,0,2,3,2
951,,1,2,30,0,0,37,1,13
952,,3,0,10,0,0,1,3,2
953,,2,0,30,0,0,1,3,1
954,,3,0,10,0,0,1,3,2
