PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Typeticket
1,0.0,3,0,20,1,0,1,3,9
2,1.0,1,1,30,1,0,10,1,13
3,1.0,3,2,20,0,0,1,3,14
4,1.0,1,1,30,1,0,7,3,0
5,0.0,3,0,30,0,0,1,3,2
6,0.0,3,0,20,0,0,1,2,2
7,0.0,1,0,50,0,0,7,3,0
8,0.0,3,0,0,3,1,3,3,2
9,1.0,3,1,20,0,2,1,3,2
10,1.0,2,1,10,1,0,4,1,1
11,1.0,3,2,0,1,1,2,3,13
12,1.0,1,2,50,0,0,3,3,0
13,0.0,3,0,20,0,0,1,3,9
14,0.0,3,0,30,1,5,4,3,2
15,0.0,3,2,10,0,0,1,3,2
16,1.0,2,1,50,0,0,2,3,1
17,0.0,3,0,0,4,1,4,2,2
18,1.0,2,0,20,0,0,1,3,1
19,0.0,3,1,30,1,0,2,3,2
20,1.0,3,1,20,0,0,1,1,1
21,0.0,2,0,30,0,0,3,3,1
22,1.0,2,0,30,0,0,1,3,1
23,1.0,3,2,10,0,0,1,2,2
24,1.0,1,0,20,0,0,5,3,0
25,0.0,3,2,0,3,1,3,3,2
26,1.0,3,1,30,1,5,4,3,2
27,0.0,3,0,20,0,0,1,1,1
28,0.0,1,0,10,3,2,37,3,0
29,1.0,3,2,20,0,0,1,2,2
30,0.0,3,0,20,0,0,1,3,2
31,0.0,1,0,40,0,0,3,1,13
32,1.0,1,1,20,1,0,20,1,13
33,1.0,3,2,20,0,0,1,2,2
34,0.0,2,0,60,0,0,1,3,10
35,0.0,1,0,20,1,0,11,1,13
36,0.0,1,0,40,1,0,7,3,0
37,1.0,3,0,20,0,0,1,1,1
38,0.0,3,0,20,0,0,1,3,9
39,0.0,3,2,10,2,0,2,3,2
40,1.0,3,2,10,1,0,1,1,1
41,0.0,3,1,40,1,0,1,3,6
42,0.0,2,1,20,1,0,3,3,0
43,0.0,3,0,20,0,0,1,1,2
44,1.0,2,2,0,1,2,5,1,14
45,1.0,3,2,10,0,0,1,2,2
46,0.0,3,0,20,0,0,1,3,14
47,0.0,3,0,20,1,0,2,2,2
48,1.0,3,2,20,0,0,1,2,0
49,0.0,3,0,20,2,0,3,1,1
50,0.0,3,1,10,1,0,2,3,2
51,0.0,3,0,0,4,1,5,3,2
52,0.0,3,0,20,0,0,1,3,9
53,1.0,1,1,40,1,0,10,1,13
54,1.0,2,1,20,1,0,3,3,1
55,0.0,1,0,60,0,1,8,1,0
56,1.0,1,0,20,0,0,5,3,0
57,1.0,2,2,20,0,0,1,3,10
58,0.0,3,0,20,0,0,1,1,1
59,1.0,2,2,0,1,2,3,3,10
60,0.0,3,0,10,5,2,6,3,10
61,0.0,3,0,20,0,0,1,1,1
62,1.0,1,2,30,0,0,11,3,0
63,0.0,1,0,40,1,0,11,3,2
64,0.0,3,0,0,3,2,3,3,2
65,0.0,1,0,20,0,0,3,1,13
66,1.0,3,0,20,1,1,2,1,1
67,1.0,2,1,20,0,0,1,3,10
68,0.0,3,0,10,0,0,1,3,14
69,1.0,3,2,10,4,2,1,3,2
70,0.0,3,0,20,2,0,1,3,2
71,0.0,2,0,30,0,0,1,3,10
72,0.0,3,2,10,5,2,6,3,10
73,0.0,2,0,20,0,0,10,3,14
74,0.0,3,0,20,1,0,2,1,1
75,1.0,3,0,30,0,0,8,3,0
76,0.0,3,0,20,0,0,1,3,2
77,0.0,3,0,20,0,0,1,3,2
78,0.0,3,0,20,0,0,1,3,2
79,1.0,2,0,0,0,2,4,3,1
80,1.0,3,2,30,0,0,1,3,2
81,0.0,3,0,20,0,0,1,3,2
82,1.0,3,0,20,0,0,1,3,2
83,1.0,3,2,20,0,0,1,2,2
84,0.0,1,0,20,0,0,6,3,0
85,1.0,2,2,10,0,0,1,3,14
86,1.0,3,1,30,3,0,2,3,2
87,0.0,3,0,10,1,3,4,3,15
88,0.0,3,0,20,0,0,1,3,14
89,1.0,1,2,20,3,2,37,3,0
90,0.0,3,0,20,0,0,1,3,2
91,0.0,3,0,20,0,0,1,3,2
92,0.0,3,0,20,0,0,1,3,2
